delta_emvr,delta_auroc,delta_aurc,delta_brier
-0.022727272727272707,-0.011089058760899162,0.005731626155461633,-0.0006827709108296887
-0.03693181818181818,0.0304101802142277,-0.0415959814003124,-0.02238007932164804
-0.03409090909090906,0.013341106360927446,-0.004069117078660811,-0.016824857598227272
-0.07244318181818182,-0.004924123495552157,-0.002760303181799373,0.0019688833540567607
-0.03977272727272724,0.015738887078334818,-0.0023990192935342547,-0.016457464809684963
-0.05397727272727276,0.009730570164454555,-0.02197571453957664,-0.011707497703244807
-0.03267045454545453,0.035775612380006594,-0.04034112359315212,-0.021044153523538445
-0.06818181818181818,0.03627594285832769,-0.03754075038808674,-0.025226128499986733
-0.03835227272727276,-0.00027168428733326255,0.0032200374690906086,-0.001847333561158182
-0.05397727272727271,0.016921171031079596,-0.011227193362806143,-0.006410202602421589
-0.07386363636363635,-0.01064720753136783,0.01641130195959062,-0.0010926176027487577
-0.04403409090909094,0.04367084030661805,-0.042232107920238904,-0.030900073068596323
-0.02698863636363641,0.01393432879020473,-0.028618266115537694,-0.0347000247813149
-0.03267045454545453,-0.014025285460082193,-0.011546377111534945,-0.006812564096394524
-0.03267045454545453,0.03221353802487159,-0.018821708171110285,-0.02837473947460306
-0.021306818181818177,0.016170362257444504,-0.011544582494198763,-0.0009489389818685412
-0.04119318181818182,0.003231946278583586,0.0009376440168201716,0.00032817389219752524
-0.05397727272727271,-0.0021419085464475796,0.0022793433827005827,0.006711044338088612
-0.04119318181818182,0.012231657678877794,-0.01031921448127604,-0.007205420280154307
-0.059659090909090884,-0.03367211246200619,0.0004147069074861287,0.008751348855293717
-0.02982954545454547,0.03408187134502916,-0.031200045264566212,-0.035102690415608484
-0.035511363636363646,0.023146734037761574,-0.012869257552374114,-0.03477307378085903
-0.058238636363636354,0.02302779573367819,-0.023206622600624227,-0.014880274813115602
-0.05681818181818182,0.0012872807357661165,0.0006084284481789326,0.0027655022147181074
-0.04261363636363641,0.03129259276937191,-0.017635395882240668,-0.018005357126924693
-0.025568181818181823,-0.009695527772594303,0.008139068438852648,0.0028462268348340425
-0.046875,-0.005173948136343864,-0.006063493687104682,-0.009851094021970652
-0.046875,-0.018940649867374093,-0.011096010509636767,0.015726402959748975
-0.025568181818181823,-0.007076840185676447,-0.010654664995218499,0.0069715020138426675
-0.03835227272727271,0.0028834616021184978,-0.0038548750345363536,-0.0033943052521639983
-0.059659090909090884,-0.010050759315812119,0.0026185957817883576,0.0024239698896331707
-0.042613636363636354,0.03169347209082307,-0.03524655446519526,-0.027610734637634582
-0.035511363636363646,0.05264346920116514,-0.04421951537851809,-0.030232262721406666
-0.05255681818181818,0.0001916393451113496,-0.003902187860408246,0.010660978903438534
-0.015625,0.0076406250000000675,-0.005402113905378536,-0.010659652273452613
-0.04971590909090906,0.012385854571814514,-0.02148533726890034,-0.0017264515132469627
-0.04403409090909094,0.013317917759465447,-0.008709615610639765,-0.021753347376316956
-0.035511363636363646,0.01091882450818793,-0.025447237370095854,0.000651196197612669
-0.046875,0.01788748908826998,-0.01966775037204238,-0.01341898837534039
-0.05397727272727271,0.013861698116131471,-0.02310980255300249,-0.00860741104563989
-0.05681818181818182,0.017582497117835327,-0.010764511626668694,-0.018085581412023544
-0.04829545454545453,0.01097841637121355,-0.005913698689556879,-0.026198704995489652
-0.03693181818181823,0.017548915752741756,-0.014633109440148229,-0.02951379581486202
-0.045454545454545414,0.013280832542190035,0.007121800361092723,0.0010942591230216903
-0.05397727272727271,0.0580672199341874,-0.06294305100252945,-0.030614586498142193
-0.042613636363636354,-0.0022603014082015482,-0.016844189542554122,0.0007074847812262308
-0.04829545454545453,-0.015764544238348388,0.02056693679284871,0.016139668818567432
-0.042613636363636354,0.007538819875776315,-0.002896857471640424,-0.015467992941792241
-0.049715909090909116,0.01102622117530383,-0.02655445433417747,0.0030692510543200435
-0.046875,0.05544564791856965,-0.04202441660090439,-0.04131391159383507
-0.05255681818181818,0.04351795810895409,-0.03699046401268202,-0.027458117044656005
-0.03125,-0.0009555785123966931,0.0025089310457871994,0.005705252784366899
-0.03977272727272724,0.018775043826696702,-0.03398306745621632,-0.0165066626147487
-0.03835227272727271,-0.002003578002523154,0.018353001973153926,-0.010708762022215601
-0.051136363636363646,0.02612399016508593,-0.02316178330613311,-0.028228113853847714
-0.02982954545454547,0.028155082023542333,-0.019808303330730692,-0.02474679116744216
-0.03835227272727276,0.008346477052359358,0.003609228788577612,-0.032651254238932725
-0.03267045454545453,-0.0013630884947055666,0.008727555620961558,-0.011708950662412954
-0.04261363636363641,-0.010081690199249427,0.013907666069847668,-0.003359447361474921
-0.06392045454545453,0.006538844311749781,-0.0012505541557326083,-0.000786961215080817
-0.03125,0.02266395836240631,-0.03110677835042075,-0.025274339536718426
-0.045454545454545414,0.022839099709132005,-0.02808525416529223,-0.01926561235502594
-0.07386363636363635,-0.0049870357979258095,0.0019222233709854653,-0.007419560338793485
-0.03977272727272729,0.025932816537467707,-0.015041366256578093,-0.023003876548883806
